Date,RELIANCE.NS,TCS.NS,INFY.NS
2021-02-11,932.1187133789062,2818.3212890625,1137.9459228515625
2021-02-12,925.7252807617188,2804.95849609375,1153.0435791015625
2021-02-15,921.6444091796875,2760.16943359375,1152.911376953125
2021-02-16,933.8416748046875,2732.87451171875,1135.9652099609375
2021-02-17,944.6106567382812,2701.4921875,1127.9544677734375
2021-02-18,937.5599365234375,2687.6455078125,1137.7698974609375
2021-02-19,943.2730102539062,2700.392333984375,1136.7576904296875
2021-02-22,910.5352783203125,2600.705322265625,1113.7813720703125
2021-02-23,917.4954833984375,2619.825439453125,1114.79345703125
2021-02-24,934.5219116210938,2591.607177734375,1121.7921142578125
2021-02-25,972.3153076171875,2633.099609375,1122.01220703125
2021-02-26,945.7669677734375,2544.313232421875,1103.3055419921875
2021-03-01,952.9764404296875,2570.595947265625,1115.365966796875
2021-03-02,954.9261474609375,2642.81298828125,1148.3778076171875
2021-03-03,998.5009155273438,2689.1845703125,1182.754150390625
2021-03-04,986.598388671875,2680.921142578125,1171.1341552734375
2021-03-05,987.890625,2644.307373046875,1159.1175537109375
2021-03-08,993.5133056640625,2643.340087890625,1175.887939453125
2021-03-09,993.4905395507812,2682.02001953125,1184.514892578125
2021-03-10,989.3642578125,2699.601806640625,1204.4102783203125
2021-03-12,969.2547607421875,2688.173583984375,1210.308349609375
2021-03-15,956.2411499023438,2695.3818359375,1209.2081298828125
2021-03-16,952.4777221679688,2733.972900390625,1218.3634033203125
2021-03-17,931.9598999023438,2736.5224609375,1221.004150390625
2021-03-18,910.98876953125,2669.31689453125,1177.0762939453125
2021-03-19,944.0439453125,2681.3603515625,1183.5467529296875
2021-03-22,935.1566162109375,2751.203125,1206.7431640625
2021-03-23,946.5377197265625,2762.58740234375,1207.4033203125
2021-03-24,928.3097534179688,2743.686767578125,1191.733642578125
2021-03-25,902.9857177734375,2694.239501953125,1174.171142578125
2021-03-26,904.4366455078125,2695.9541015625,1176.2840576171875
2021-03-30,920.1480102539062,2776.60888671875,1219.5078125
2021-03-31,908.2681274414062,2793.57470703125,1204.322021484375
2021-04-01,916.77001953125,2782.2783203125,1219.419677734375
2021-04-05,903.5071411132812,2847.2421875,1241.16357421875
2021-04-06,899.7435913085938,2869.922607421875,1242.176025390625
